No of Trainings | Percentage0th training :=  Win Percent :70 | Draw Percent :30
132th training :=  Win Percent :100 | Draw Percent :0
133th training :=  Win Percent :90 | Draw Percent :10
134th training :=  Win Percent :80 | Draw Percent :20
135th training :=  Win Percent :100 | Draw Percent :0
136th training :=  Win Percent :90 | Draw Percent :10
137th training :=  Win Percent :90 | Draw Percent :10
138th training :=  Win Percent :100 | Draw Percent :0
139th training :=  Win Percent :90 | Draw Percent :0
140th training :=  Win Percent :100 | Draw Percent :0
141th training :=  Win Percent :90 | Draw Percent :10
142th training :=  Win Percent :90 | Draw Percent :10
143th training :=  Win Percent :90 | Draw Percent :10
144th training :=  Win Percent :100 | Draw Percent :0
145th training :=  Win Percent :100 | Draw Percent :0
146th training :=  Win Percent :100 | Draw Percent :0
147th training :=  Win Percent :70 | Draw Percent :20
148th training :=  Win Percent :90 | Draw Percent :0
149th training :=  Win Percent :80 | Draw Percent :20
150th training :=  Win Percent :90 | Draw Percent :10
151th training :=  Win Percent :90 | Draw Percent :10
152th training :=  Win Percent :90 | Draw Percent :10
153th training :=  Win Percent :90 | Draw Percent :10
154th training :=  Win Percent :80 | Draw Percent :10
155th training :=  Win Percent :90 | Draw Percent :10
156th training :=  Win Percent :90 | Draw Percent :10
157th training :=  Win Percent :90 | Draw Percent :0
158th training :=  Win Percent :90 | Draw Percent :10
159th training :=  Win Percent :100 | Draw Percent :0
160th training :=  Win Percent :80 | Draw Percent :20
161th training :=  Win Percent :90 | Draw Percent :10
162th training :=  Win Percent :80 | Draw Percent :20
163th training :=  Win Percent :90 | Draw Percent :10
164th training :=  Win Percent :100 | Draw Percent :0
165th training :=  Win Percent :100 | Draw Percent :0
166th training :=  Win Percent :90 | Draw Percent :10
167th training :=  Win Percent :100 | Draw Percent :0
168th training :=  Win Percent :90 | Draw Percent :10
169th training :=  Win Percent :100 | Draw Percent :0
170th training :=  Win Percent :80 | Draw Percent :0
171th training :=  Win Percent :100 | Draw Percent :0
172th training :=  Win Percent :100 | Draw Percent :0
173th training :=  Win Percent :100 | Draw Percent :0
174th training :=  Win Percent :80 | Draw Percent :10
175th training :=  Win Percent :100 | Draw Percent :0
176th training :=  Win Percent :90 | Draw Percent :10
177th training :=  Win Percent :90 | Draw Percent :10
178th training :=  Win Percent :100 | Draw Percent :0
179th training :=  Win Percent :90 | Draw Percent :10
180th training :=  Win Percent :90 | Draw Percent :0
181th training :=  Win Percent :90 | Draw Percent :10
182th training :=  Win Percent :100 | Draw Percent :0
183th training :=  Win Percent :100 | Draw Percent :0
184th training :=  Win Percent :100 | Draw Percent :0
185th training :=  Win Percent :90 | Draw Percent :0
186th training :=  Win Percent :80 | Draw Percent :20
187th training :=  Win Percent :100 | Draw Percent :0
188th training :=  Win Percent :90 | Draw Percent :10
189th training :=  Win Percent :90 | Draw Percent :10
190th training :=  Win Percent :100 | Draw Percent :0
191th training :=  Win Percent :70 | Draw Percent :20
192th training :=  Win Percent :100 | Draw Percent :0
193th training :=  Win Percent :90 | Draw Percent :0
194th training :=  Win Percent :100 | Draw Percent :0
195th training :=  Win Percent :100 | Draw Percent :0
196th training :=  Win Percent :100 | Draw Percent :0
197th training :=  Win Percent :90 | Draw Percent :10
198th training :=  Win Percent :100 | Draw Percent :0
199th training :=  Win Percent :90 | Draw Percent :10
200th training :=  Win Percent :100 | Draw Percent :0
201th training :=  Win Percent :90 | Draw Percent :10
202th training :=  Win Percent :90 | Draw Percent :10
203th training :=  Win Percent :100 | Draw Percent :0
204th training :=  Win Percent :90 | Draw Percent :10
205th training :=  Win Percent :90 | Draw Percent :10
206th training :=  Win Percent :100 | Draw Percent :0
207th training :=  Win Percent :90 | Draw Percent :10
208th training :=  Win Percent :100 | Draw Percent :0
209th training :=  Win Percent :100 | Draw Percent :0
210th training :=  Win Percent :90 | Draw Percent :0
211th training :=  Win Percent :100 | Draw Percent :0
212th training :=  Win Percent :100 | Draw Percent :0
213th training :=  Win Percent :100 | Draw Percent :0
214th training :=  Win Percent :100 | Draw Percent :0
215th training :=  Win Percent :90 | Draw Percent :0
216th training :=  Win Percent :90 | Draw Percent :0
217th training :=  Win Percent :90 | Draw Percent :10
218th training :=  Win Percent :100 | Draw Percent :0
219th training :=  Win Percent :100 | Draw Percent :0
220th training :=  Win Percent :100 | Draw Percent :0
221th training :=  Win Percent :90 | Draw Percent :0
222th training :=  Win Percent :90 | Draw Percent :10
223th training :=  Win Percent :100 | Draw Percent :0
