No of Trainings | Percentage0th training :=  Win Percent :81.4 | Draw Percent :12.2 | Lost Percent :6.4
81th training :=  Win Percent :90.1 | Draw Percent :4.8 | Lost Percent :5.1
82th training :=  Win Percent :89.5 | Draw Percent :4.8 | Lost Percent :5.7
83th training :=  Win Percent :91.1 | Draw Percent :4.2 | Lost Percent :4.7
84th training :=  Win Percent :91.7 | Draw Percent :4.4 | Lost Percent :3.9
85th training :=  Win Percent :91.5 | Draw Percent :4.9 | Lost Percent :3.6
86th training :=  Win Percent :90.9 | Draw Percent :4.8 | Lost Percent :4.3
87th training :=  Win Percent :91.5 | Draw Percent :4.1 | Lost Percent :4.4
88th training :=  Win Percent :91.2 | Draw Percent :5 | Lost Percent :3.8
89th training :=  Win Percent :91.9 | Draw Percent :3.6 | Lost Percent :4.5
90th training :=  Win Percent :90.4 | Draw Percent :4.4 | Lost Percent :5.2
91th training :=  Win Percent :91.6 | Draw Percent :3.8 | Lost Percent :4.6
92th training :=  Win Percent :92.4 | Draw Percent :3.3 | Lost Percent :4.3
93th training :=  Win Percent :91.5 | Draw Percent :4.3 | Lost Percent :4.2
94th training :=  Win Percent :92.8 | Draw Percent :4.4 | Lost Percent :2.8
95th training :=  Win Percent :91.6 | Draw Percent :3.8 | Lost Percent :4.6
96th training :=  Win Percent :90.9 | Draw Percent :4.4 | Lost Percent :4.7
97th training :=  Win Percent :91.2 | Draw Percent :5.4 | Lost Percent :3.4
98th training :=  Win Percent :91.1 | Draw Percent :5.1 | Lost Percent :3.8
99th training :=  Win Percent :90.9 | Draw Percent :5 | Lost Percent :4.1
100th training :=  Win Percent :92 | Draw Percent :4.7 | Lost Percent :3.3
101th training :=  Win Percent :91.9 | Draw Percent :3.8 | Lost Percent :4.3
102th training :=  Win Percent :89.9 | Draw Percent :5.7 | Lost Percent :4.4
103th training :=  Win Percent :91.5 | Draw Percent :4.4 | Lost Percent :4.1
104th training :=  Win Percent :92.7 | Draw Percent :3.4 | Lost Percent :3.9
105th training :=  Win Percent :90.3 | Draw Percent :5.2 | Lost Percent :4.5
106th training :=  Win Percent :93 | Draw Percent :3.3 | Lost Percent :3.7
107th training :=  Win Percent :90.3 | Draw Percent :5.6 | Lost Percent :4.1
108th training :=  Win Percent :91 | Draw Percent :4.8 | Lost Percent :4.2
109th training :=  Win Percent :90.4 | Draw Percent :4.9 | Lost Percent :4.7
110th training :=  Win Percent :92.2 | Draw Percent :4.5 | Lost Percent :3.3
111th training :=  Win Percent :92.9 | Draw Percent :3.9 | Lost Percent :3.2
