No of Trainings | Percentage0th training :=  Win Percent :85 | Draw Percent :8 | Lost Percent :7
93th training :=  Win Percent :92 | Draw Percent :5 | Lost Percent :3
94th training :=  Win Percent :90 | Draw Percent :7 | Lost Percent :3
95th training :=  Win Percent :93 | Draw Percent :4 | Lost Percent :3
96th training :=  Win Percent :97 | Draw Percent :2 | Lost Percent :1
97th training :=  Win Percent :97 | Draw Percent :3 | Lost Percent :0
98th training :=  Win Percent :99 | Draw Percent :1 | Lost Percent :0
99th training :=  Win Percent :96 | Draw Percent :4 | Lost Percent :0
100th training :=  Win Percent :96 | Draw Percent :3 | Lost Percent :1
101th training :=  Win Percent :96 | Draw Percent :3 | Lost Percent :1
102th training :=  Win Percent :93 | Draw Percent :3 | Lost Percent :4
103th training :=  Win Percent :97 | Draw Percent :2 | Lost Percent :1
104th training :=  Win Percent :100 | Draw Percent :0 | Lost Percent :0
105th training :=  Win Percent :97 | Draw Percent :0 | Lost Percent :3
106th training :=  Win Percent :95 | Draw Percent :3 | Lost Percent :2
107th training :=  Win Percent :90 | Draw Percent :6 | Lost Percent :4
108th training :=  Win Percent :99 | Draw Percent :0 | Lost Percent :1
109th training :=  Win Percent :95 | Draw Percent :3 | Lost Percent :2
110th training :=  Win Percent :95 | Draw Percent :3 | Lost Percent :2
111th training :=  Win Percent :99 | Draw Percent :0 | Lost Percent :1
112th training :=  Win Percent :96 | Draw Percent :2 | Lost Percent :2
113th training :=  Win Percent :95 | Draw Percent :5 | Lost Percent :0
114th training :=  Win Percent :96 | Draw Percent :3 | Lost Percent :1
115th training :=  Win Percent :95 | Draw Percent :4 | Lost Percent :1
116th training :=  Win Percent :94 | Draw Percent :5 | Lost Percent :1
117th training :=  Win Percent :97 | Draw Percent :1 | Lost Percent :2
118th training :=  Win Percent :99 | Draw Percent :1 | Lost Percent :0
119th training :=  Win Percent :96 | Draw Percent :1 | Lost Percent :3
120th training :=  Win Percent :97 | Draw Percent :1 | Lost Percent :2
121th training :=  Win Percent :99 | Draw Percent :1 | Lost Percent :0
122th training :=  Win Percent :97 | Draw Percent :2 | Lost Percent :1
123th training :=  Win Percent :96 | Draw Percent :2 | Lost Percent :2
124th training :=  Win Percent :95 | Draw Percent :4 | Lost Percent :1
125th training :=  Win Percent :98 | Draw Percent :1 | Lost Percent :1
126th training :=  Win Percent :97 | Draw Percent :1 | Lost Percent :2
127th training :=  Win Percent :98 | Draw Percent :1 | Lost Percent :1
128th training :=  Win Percent :100 | Draw Percent :0 | Lost Percent :0
129th training :=  Win Percent :94 | Draw Percent :2 | Lost Percent :4
130th training :=  Win Percent :94 | Draw Percent :5 | Lost Percent :1
131th training :=  Win Percent :100 | Draw Percent :0 | Lost Percent :0
132th training :=  Win Percent :97 | Draw Percent :3 | Lost Percent :0
133th training :=  Win Percent :97 | Draw Percent :3 | Lost Percent :0
134th training :=  Win Percent :96 | Draw Percent :3 | Lost Percent :1
135th training :=  Win Percent :96 | Draw Percent :1 | Lost Percent :3
136th training :=  Win Percent :95 | Draw Percent :2 | Lost Percent :3
137th training :=  Win Percent :99 | Draw Percent :1 | Lost Percent :0
138th training :=  Win Percent :94 | Draw Percent :5 | Lost Percent :1
139th training :=  Win Percent :99 | Draw Percent :0 | Lost Percent :1
140th training :=  Win Percent :91 | Draw Percent :3 | Lost Percent :6
141th training :=  Win Percent :98 | Draw Percent :0 | Lost Percent :2
142th training :=  Win Percent :96 | Draw Percent :2 | Lost Percent :2
143th training :=  Win Percent :96 | Draw Percent :2 | Lost Percent :2
144th training :=  Win Percent :95 | Draw Percent :2 | Lost Percent :3
145th training :=  Win Percent :99 | Draw Percent :1 | Lost Percent :0
146th training :=  Win Percent :96 | Draw Percent :3 | Lost Percent :1
147th training :=  Win Percent :97 | Draw Percent :2 | Lost Percent :1
148th training :=  Win Percent :98 | Draw Percent :1 | Lost Percent :1
149th training :=  Win Percent :96 | Draw Percent :1 | Lost Percent :3
150th training :=  Win Percent :98 | Draw Percent :0 | Lost Percent :2
151th training :=  Win Percent :98 | Draw Percent :0 | Lost Percent :2
152th training :=  Win Percent :97 | Draw Percent :1 | Lost Percent :2
153th training :=  Win Percent :96 | Draw Percent :3 | Lost Percent :1
154th training :=  Win Percent :94 | Draw Percent :3 | Lost Percent :3
155th training :=  Win Percent :99 | Draw Percent :1 | Lost Percent :0
156th training :=  Win Percent :98 | Draw Percent :2 | Lost Percent :0
157th training :=  Win Percent :93 | Draw Percent :3 | Lost Percent :4
158th training :=  Win Percent :97 | Draw Percent :3 | Lost Percent :0
159th training :=  Win Percent :95 | Draw Percent :4 | Lost Percent :1
160th training :=  Win Percent :96 | Draw Percent :1 | Lost Percent :3
161th training :=  Win Percent :96 | Draw Percent :4 | Lost Percent :0
162th training :=  Win Percent :95 | Draw Percent :3 | Lost Percent :2
163th training :=  Win Percent :100 | Draw Percent :0 | Lost Percent :0
164th training :=  Win Percent :93 | Draw Percent :6 | Lost Percent :1
165th training :=  Win Percent :95 | Draw Percent :4 | Lost Percent :1
166th training :=  Win Percent :96 | Draw Percent :4 | Lost Percent :0
167th training :=  Win Percent :96 | Draw Percent :3 | Lost Percent :1
168th training :=  Win Percent :99 | Draw Percent :1 | Lost Percent :0
169th training :=  Win Percent :100 | Draw Percent :0 | Lost Percent :0
170th training :=  Win Percent :96 | Draw Percent :3 | Lost Percent :1
171th training :=  Win Percent :97 | Draw Percent :3 | Lost Percent :0
172th training :=  Win Percent :97 | Draw Percent :0 | Lost Percent :3
173th training :=  Win Percent :97 | Draw Percent :2 | Lost Percent :1
174th training :=  Win Percent :94 | Draw Percent :3 | Lost Percent :3
175th training :=  Win Percent :95 | Draw Percent :2 | Lost Percent :3
176th training :=  Win Percent :97 | Draw Percent :3 | Lost Percent :0
177th training :=  Win Percent :96 | Draw Percent :1 | Lost Percent :3
178th training :=  Win Percent :99 | Draw Percent :0 | Lost Percent :1
179th training :=  Win Percent :93 | Draw Percent :6 | Lost Percent :1
180th training :=  Win Percent :97 | Draw Percent :2 | Lost Percent :1
181th training :=  Win Percent :97 | Draw Percent :3 | Lost Percent :0
182th training :=  Win Percent :97 | Draw Percent :2 | Lost Percent :1
183th training :=  Win Percent :96 | Draw Percent :4 | Lost Percent :0
184th training :=  Win Percent :95 | Draw Percent :3 | Lost Percent :2
185th training :=  Win Percent :95 | Draw Percent :4 | Lost Percent :1
186th training :=  Win Percent :97 | Draw Percent :1 | Lost Percent :2
187th training :=  Win Percent :98 | Draw Percent :2 | Lost Percent :0
188th training :=  Win Percent :95 | Draw Percent :3 | Lost Percent :2
189th training :=  Win Percent :100 | Draw Percent :0 | Lost Percent :0
190th training :=  Win Percent :96 | Draw Percent :4 | Lost Percent :0
191th training :=  Win Percent :99 | Draw Percent :1 | Lost Percent :0
192th training :=  Win Percent :97 | Draw Percent :2 | Lost Percent :1
193th training :=  Win Percent :95 | Draw Percent :3 | Lost Percent :2
194th training :=  Win Percent :97 | Draw Percent :1 | Lost Percent :2
195th training :=  Win Percent :97 | Draw Percent :1 | Lost Percent :2
196th training :=  Win Percent :97 | Draw Percent :1 | Lost Percent :2
197th training :=  Win Percent :98 | Draw Percent :2 | Lost Percent :0
198th training :=  Win Percent :95 | Draw Percent :4 | Lost Percent :1
199th training :=  Win Percent :98 | Draw Percent :0 | Lost Percent :2
200th training :=  Win Percent :98 | Draw Percent :2 | Lost Percent :0
201th training :=  Win Percent :95 | Draw Percent :3 | Lost Percent :2
202th training :=  Win Percent :95 | Draw Percent :4 | Lost Percent :1
